роль|То же, что ролл
ром|Крепкий алкогольный напиток, получаемый из сока сахарного тростника
роман|Повествовательное произведение со сложным сюжетом и многими героями, большая форма эпической прозы
роман|Любовные отношения между мужчиной и женщиной
романизировать|Привить кому–нибудь романскую культуру
романист|Писатель – автор романа, романов
романист|Ученый – специалист по романской филологии, романской культуре
романистика|Совокупность наук о романских языках, литературе и фольклоре
романовский|Относящийся к высокопроизводительной породе нетонкорунных овец, дающей мясо и шубную овчину
романс|Небольшое лирическое музыкально–поэтическое произведение для голоса с музыкальным сопровождением
романский|Относящийся к народам, исторически связанным с Древним Римом, к их языкам, культуре, а также к территории их проживания, ее внутреннему устройству, истории
романтизм|Направление в искусстве конца XVIII – первой четверти XIX века, выступающее против канонов классицизма и характеризующееся стремлением к национальному и индивидуальному своеобразию, к изображению идеальных героев и чувств
романтизм|Направление в искусстве, проникнутое оптимизмом и стремлением показать в ярких образах высокое назначение человека
романтизм|Умонастроение, мироощущение, проникнутое идеализацией действительности, мечтательной созерцательностью
романтик|Последователь романтизма
романтик|Человек, склонный к романтизму
романтик|Человек, проникнутый романтикой, высокими чувствами
романтика|То, что содержит идеи и чувства, эмоционально возвышающие человека; условия жизни, обстановка, содействующие эмоционально–возвышенному мироощущению
романтический|См. романтизм и романтика
романтический|То же, что романтичный
романтичный|Проникнутый романтизмом, мечтательно–созерцательный
ромашка|Травянистое растение семейства сложноцветных с цветками, у которых лепестки обычно белые, а середина желтая
ромашка|Лекарственный настой или порошок из высушенных цветков одного из видов такого растения
ромб|В математике: параллелограмм, все стороны которого равны
ромб|Название высшего офицерского знака различия такой формы на петлицах в Красной Армии
ромовый|См. ром
ромштекс|Кушанье в виде отбитого и зажаренного в сухарях куска говядины
рондо|Музыкальная пьеса, в которой несколько раз повторяется рефрен
рондо|Стихотворение из пятнадцати строк со сложным чередованием рифм и повторяющимся нерифмуемым рефреном
рондо|Закругленный рукописный и печатный шрифт
рондо|О перо: со срезанным концом для писания таким шрифтом
ронять|Непроизвольно, нечаянно давать выпасть или упасть откуда–нибудь
ронять|Бессильно опускать вниз
ронять|Лишаться чего–нибудь (перьев, волос, листьев)
ронять|Принижать, унижать
ропак|Льдина в торосах, стоящая ребром
ропот|Недовольство, выражаемое в приглушенной форме, негромкими голосами
ропот|Неясный шум, неясные, негромкие звуки
роптать|Выражать недовольство, обиду, сетовать
роса|Мелкие капли влаги, оседающие на растениях, почве при наступлении утренней или вечерней прохлады
роса|Слизистое выделение на растениях
росинка|Капелька росы
росистый|Покрытый росой, с обильной росой
роскошество|Пристрастие к роскоши
роскошество|Излишество, дорогостоящая затея
роскошествовать|Жить в роскоши, а также позволять себе лишнее в чем–нибудь
роскошничать|То же, что роскошествовать
роскошный|Отличающийся роскошью, богатством
роскошный|Очень хороший, замечательный
роскошь|Богатство и великолепие
роскошь|Излишества в комфорте, в удовольствиях
роскошь|Изобилие, природное богатство
рослый|Высокого роста
росный|Росный ладан – род растительной ароматической смолы
росный|См. роса
росомаха|Хищное млекопитающее семейства куньих с ценным мехом, а также самый мех его
роспись|Письменный перечень чего–нибудь
роспись|Живопись на стенах, потолках, предметах быта
роспуск|См. распустить
роспуски|Крестьянская повозка без кузова для возки бревен, досок
российский|Относящийся к россиянам, к русским, а также к России, ее территории, внутреннему устройству, истории; такой, как у россиян, как у русских, как в России
россияне|То же, что русские
россияне|Общее название населения России
россказни|Измышления, выдумки
россыпь|То, что рассеялось, расположилось где–нибудь во множестве
россыпь|Рассыпной товар, груз
россыпь|Скопление ценных минералов в рыхлых обломочных отложениях
россыпью|Без упаковки, в рассыпанном состоянии
рост|Увеличение организма или отдельных органов в процессе развития
рост|Увеличение в числе, в размерах, развитие
рост|Усиление, укрепление
рост|Совершенствование в процессе развития
рост|Размеры человека или животного в высоту
рост|То же, что проценты
ростбиф|Кусок жареной говядины из хребтовой части туши или вырезки
