непритворный|Лишенный притворства, искренний
непритворность|Свойство быть лишенным притворства, искренность
непритязательный|Скромный, простой, без претензий
непритязательность|Свойство быть скромным, простым, без претензий
неприязненный|Проникнутый неприязнью, недружелюбный
неприязненность|Свойство быть проникнутым неприязнью, недружелюбие
неприязнь|Недоброжелательность, недружелюбие
неприятель|Вражеские войска, противник
неприятель|Человек, враждебно настроенный к кому–нибудь
неприятность|Свойство быть неприятным
неприятность|Неприятное событие
неприятный|Не нравящийся своими качествами, противный
неприятный|Вызывающий неудовольствие, волнение, нарушающий чье–нибудь спокойствие
непробиваемый|Такой, который нельзя пробить
непробиваемый|Безнадежный, полный, непроходимый
непробиваемость|Свойство быть непробиваемым
непробудный|Длительный, непрерывный (о сне, пьянстве)
непробудность|Свойство быть длительным, непрерывным
непроглядный|О тьме, мраке: непроницаемый
непроглядный|Такой, что невозможно рассмотреть, глубокий (переносное значение)
непрогладность|Свойство быть непроницаемым, мрачным
непроизводительный|Не приносящий необходимого результата, бесполезный
непроизводительность|Свойство быть бесполезным, не приносить результата
непроизвольный|Происходящий независимо от воли, сознания
непроизвольность|Свойство происходить независимо от воли, сознания
непролазный|Такой, из которого трудно выбраться или сквозь который трудно пробраться, сплошной
непролазность|Свойство быть такой, из которой трудно выбраться или сквозь которую трудно пробраться
непромокаемый|Не пропускающий влаги
непромокаемость|Свойство не пропускать влагу
непроницаемый|Такой, который не пропускает сквозь себя что–нибудь (воду, свет, звуки)
непроницаемый|Такой, куда нельзя проникнуть взглядом, а также недоступный пониманию, скрытый
непроницаемость|Свойство не пропускать сквозь себя что–нибудь, быть недоступным пониманию
непростительный|Не заслуживающий прощения, снисхождения
непростительность|Свойство не заслуживать прощения, снисхождения
непротивленец|Сторонник непротивления
непротивленка|Женщина, сторонница непротивления
непротивленский|Относящийся к непротивлению
непротивление|Отказ от активной борьбы со злом, противопоставление ему покорности, пассивности, смирения
непротивленство|Отказ от активной борьбы со злом, противопоставление ему покорности, пассивности, смирения
непротивленческий|Относящийся к непротивлению
непроходимость|Свойство быть непроходимым
непроходимость|Нарушение или полное прекращение продвижения содержимого кишечника
непроходимый|Такой, по которому очень трудно или невозможно идти
непроходимый|Полный, совершенный (в отрицательном смысле)
непроходимость|Свойство быть такой, по которой невозможно идти
непрошеный|Явившийся без приглашения, нежелательный
непрошибаемый|Не поддающийся воздействию, уговорам, просьбам, непробиваемый
непрошибаемость|Свойство быть непрошибаемым
непутёвый|Легкомысленный и беспутный, безалаберный
непутёвость|Свойство быть легкомысленным, беспутным
непутём|Плохо, не так, как нужно
непьющий|Не употребляющий спиртных напитков
неравенство|Отсутствие равенства, равноправия
неравенство|В математике: соотношение между величинами, показывающее, что одна величина больше или меньше другой
неравно|Для выражения опасения чего–нибудь неожиданного, как бы не, а вдруг, не ровен час
неравнодушный|Небезразличный, небезучастный к людям, к окружающему
неравнодушный|Питающий склонность к кому–нибудь, любящий кого–нибудь
неравнодушие|Свойство быть небезразличным, небезучастным
неравноправие|Отсутствие равноправия, равенства
неравный|Неодинаковый по величине, значению, качеству
неравный|Такой, в котором силы участников, их возможности, положение неравноценны
неравность|Свойство быть неравным
нерадение|Небрежное отношение к своим обязанностям
нерадивый|Небрежно относящийся к своим обязанностям, небрежный
нерадивость|Свойство быть небрежно относящимся к своим обязанностям
неразбериха|Запутанное положение, отсутствие порядка в чем–нибудь
неразделимый|Такой, что нельзя разделить, нераздельный
неразделимость|Свойство быть неразделимым
нераздельный|Не подлежащий расчленению, разделу, дроблению
нераздельность|Свойство быть не подлежащим расчленению, разделу
неразличимый|Такой, что трудно отличить от другого, рассмотреть
неразличимость|Свойство быть трудным для различения
неразложимый|Такой, что нельзя разложить, разделить на части
неразложимость|Свойство быть неразложимым
неразлучный|Никогда не разлучающийся с кем–нибудь
неразлучность|Свойство быть неразлучным
неразменный|О деньгах: такой, который нельзя разменять, не подлежащий размену
неразрешимый|Такой, что нельзя решить, разрешить
неразрешимость|Свойство быть неразрешимым
неразрывный|Не поддающийся разъединению, крепкий, нерушимый
неразрывность|Свойство быть не поддающимся разъединению
неразумиe|Отсутствие разумности, рассудительности
неразумный|Неумный, нецелесообразный
неразумный|Несмышленый
неразумность|Свойство быть неумным, нецелесообразным, несмышленым
нераскаянный|Закоренелый, неспособный к раскаянию
нерасположение|Недоброжелательное отношение, неприязнь
нерасторжимый|Такой, что не может быть расторгнут
нерасторжимость|Свойство быть нерасторжимым
нерв|Один из тончайших отростков–волокон, образующий разветвляющуюся систему, которая связывает мозг с другими органами и тканями тела
нерв|Вся такая система в целом, определяющая деятельность организма и поведение человека
нерв|Возбужденное состояние, раздраженность
нервишки|Уменьшительно–уничижительная форма к нерв
нервный|Относящийся к нервам, нервной системе
нервический|Относящийся к нервам, нервной системе (устаревшее), то же, что нервный
нервировать|Приводить кого–нибудь в нервное состояние
нервничать|Находиться в возбужденном, нервном состоянии, испытывать нервное раздражение
понервничать|Побыть в нервном состоянии, испытать нервное раздражение
нервнобольной|Человек, страдающий нервной болезнью
нервнобольная|Женщина, страдающая нервной болезнью
