голодранец|Оборванец, бедняк
голодуха|Голод, голодание
гололедица|Слой льда на земной поверхности, образовавшийся после оттепели или дождя; время, когда образуется такой слой льда
гололед|Слой льда на поверхности земли или на предметах, образовавшийся после замерзания капель дождя, мороси; время, когда образуется такой слой льда
голоногий|То же, что босой
голоногий|О животных: с ногами, не покрытыми шерстью, оперением
голопузый|С голым, неприкрытым животом
голос|Совокупность звуков, возникающих в результате колебания голосовых связок
голос|Одна из двух или нескольких мелодий в музыкальной пьесе, партия в вокальном ансамбле
голос|Мнение, высказывание
голос|Внутреннее побуждение, осознание чего–нибудь
голос|Право заявлять свое мнение при решении государственных, общественных вопросов, а также само такое выраженное мнение
голос|О радиостанциях зарубежных стран, ведущих вещание на другие страны
голосистый|Обладающий сильным и звучным голосом
голосить|Громко с причитаниями плакать, исполняя обрядовый плач
голосить|Громко петь или кричать
голословный|Не подтвержденный доказательствами, фактами
голосовать|Подавать голос
голосовать|Поднятием руки останавливать попутную машину
голуба|Ласково–фамильярное обращение к кому–нибудь
голубевод|Человек, занимающийся голубеводством
голубеводство|Разведение и дрессировка домашних голубей
голубеть|Становиться голубым, голубее
голубеть|О чем–нибудь голубом: виднеться
голубизна|Голубой цвет, оттенок чего–нибудь
голубика|Кустарничек семейства брусничных со съедобными сизо–голубыми ягодами, а также сами ягоды его
голубить|В народной словесности: лелеять, ласкать
голубица|Девушка, девочка, которая своей невинностью вызывает чувства нежности, любви
голубка|Самка голубя
голубка|Ласковое обращение к женщине
голубоглазый|С голубыми глазами
голубой|Светло–синий, цвета незабудки
голубой|То же, что идиллический
голубой|То же, что педераст
голубцы|Кушанье из фарша, тушенного в капустных листьях
голубчик|Ласково о человеке
голубчик|О ком–нибудь, заслуживающем порицания
голубь|Дикая и одомашненная птица, преимущественно с серовато–голубым или белым оперением и большим зобом
голубятник|Любитель, разводящий домашних голубей
голубятня|Помещение для домашних голубей
голый|Не имеющий на себе одежды, покровов, нагой
голый|О местности: лишенный растительности
голый|Взятый сам по себе, без добавлений, без прикрас
голый|Чистый, без всяких примесей
голытьба|То же, что голь
голыш|Голый человек
голыш|Небольшой круглый гладкий камень
голышка|Голый ребенок
голышом|То же, что нагишом
голь|Оборванцы, нищие, беднота
гольдский|То же, что нанайский
гольдский|См. гольды
гольды|Старое название нанайцев
гольё|Внутренности и конечности мясной туши
гольё|Очищенная от волоса шкура, подготавливаемая к дублению
гольём|В чистом виде, без примесей, добавлений
гольф|Игра в мяч, который по дорожкам загоняют в лунки клюшками
гольфы|Короткие брюки с манжетами, застегивающимися под коленом
гольфы|Короткие чулки с резинкой, охватывающей ногу ниже колена
гомеопат|Врач, лечащий методами гомеопатии
гомеопатия|Способ лекарственного лечения, заключающийся в применении очень малых доз тех лекарств, которые в больших дозах вызывают у здорового человека признаки данной болезни
гомерический|Неудержимый, необычайной силы смех
гомик|То же, что гомосексуалист
гомогенный|Однородный по своему составу или происхождению
гомон|Громкий шум от множества голосов, звуков
гомонить|Громко, шумно разговаривать, кричать
гомосексуализм|Половое влечение к лицам своего же пола
гомосексуалист|Человек, испытывающий сексуальное влечение к лицам своего же пола
гомосексуалист|Мужчина, испытывающий сексуальное влечение к лицам своего же пола
