беспутник|Беспутный человек  
беспутница|Беспутный человек  
беспутнический|Относящийся к беспутному человеку  
беспутничать|Вести себя беспутно  
беспутный|Легкомысленный и разгульный  
беспутность|Легкомысленное и разгульное поведение  
беспутство|Беспутное и непристойное поведение  
бессвязный|Лишенный связности, отрывочный  
бессвязность|Лишенность связности, отрывочность  
бессердечный|Чуждый мягкости, сердечности; бездушный, жестокий  
бессердечие|Чуждость мягкости, сердечности; бездушие, жестокость  
бессердечность|Чуждость мягкости, сердечности; бездушие, жестокость  
бессилие|Отсутствие сил, физическая слабость  
бессилие|Отсутствие возможности действовать  
бессильный|Не имеющий сил, слабый  
бессильный|Лишенный возможности действовать, оказывать воздействие  
бессистемный|Не приведенный в систему, беспорядочный  
бессистемность|Неупорядоченность, отсутствие системы  
бесславный|Позорный, достойный осуждения  
бесславность|Позор, достоинство осуждения  
бесследный|Не оставивший никаких следов после себя, сведений о себе  
бесследность|Исчезновение без следа, отсутствие сведений  
бессловесный|Лишенный речи, неспособный говорить  
бессловесный|Молчаливый, не высказывающий ни о чем своего мнения, безропотный  
бессловесность|Лишенность речи, неспособность говорить  
бессменный|Постоянный, не имеющий замены  
бессменность|Постоянство, отсутствие замены  
бессмертие|Посмертная слава  
бессмертие|В религиозных представлениях: вечное существование души, обитающей в теле и покидающей его после смерти, загробная жизнь  
бессмертник|Растение семейства сложноцветных с сухими невянущими цветками и ярко окрашенными листочками у соцветий  
бессмертный|Не подверженный смерти, живущий вечно  
бессмертный|Остающийся навсегда в памяти людей  
бессмертность|Неуязвимость для смерти, вечная жизнь  
бессмысленный|Лишенный смысла, неразумный  
бессмысленный|Не выражающий никакой мысли  
бессмысленность|Лишенность смысла, неразумность  
бессмыслица|Нечто бессмысленное, нелепость, глупость  
бессовестный|Нечестный и наглый  
бессовестность|Нечестность и наглость  
бессодержательный|Бедный содержанием, мыслями  
бессодержательность|Бедность содержанием, мыслями  
бессознательный|Сопровождаемый потерей сознания  
бессознательный|Непроизвольный, безотчетный  
бессознательность|Состояние бессознательности, непроизвольность  
бессолевой|О питании, продуктах: без употребления, добавления соли  
бессонница|Болезненное отсутствие, нарушение сна  
бессонный|Проведенный без сна; не знающий сна  
бессоюзный|В грамматике: связь словоформы или предложений, осуществляющаяся без участия союза или союзного слова  
бессоюзный|В грамматике: предложение, в котором отношения между его частями – простыми предложениями – не выражены союзами или союзными словами  
бесспорный|Несомненный, совершенно очевидный  
бесспорность|Несомненность, очевидность  
бессребреник|Равнодушный к деньгам, богатству, бескорыстный человек  
бессребреница|Равнодушный к деньгам, богатству, бескорыстный человек  
бессребренический|Относящийся к равнодушному к деньгам, богатству, бескорыстному человеку  
бессрочный|Не ограниченный сроком  
бессрочность|Неограниченность сроком  
бессточный|Не имеющий стока  
бесстойчивый|То же, что бессточный  
бесстрастие|Отсутствие страстности, холодное спокойствие  
бесстрастный|Не подверженный страстям, холодный и спокойный  
бесстрастность|Холодное спокойствие, отсутствие страстей  
бесстрашие|Отсутствие страха, храбрость  
бесстрашный|Не испытывающий страха, храбрый  
бесстрашность|Отсутствие страха, храбрость  
бесстыдник|Бесстыдный человек  
бесстыдница|Бесстыдный человек  
бесстыдничать|Вести себя бесстыдно, бессовестно  
бесстыдный|Лишенный чувства стыда, противоречащий общественной морали, непристойный  
бесстыдство|Бесстыдный поступок  
бесстыдность|Лишенность чувства стыда  
бесстыжий|То же, что бесстыдный  
бесстыжесть|Лишенность чувства стыда  
бестактность|Лишенность такта, чуткости, чувства приличия  
бестактный|Лишенный такта, чуткости, чувства приличия  
бесталанный|Лишенный таланта  
бесталанность|Лишенность таланта  
бесталанный|В народно-поэтической речи: несчастный, обездоленный  
бестеневая лампа|Электрическая лампа, снабженная устройством, которое исключает возможность образования тени  
бестия|Плут, пройдоха  
бестолковщина|Беспорядок, неразбериха  
бестолковщина|Бестолковый человек  
бестолковый|Непонятливый, глупый, несообразительный  
бестолковый|Беспорядочный, невразумительный, неразумный  
бестолковость|Непонятливость, глупость, несообразительность  
бестолочь|То же, что бестолковщина  
бестрепетный|Бесстрашный, неустрашимый  
бестрепетность|Бесстрашие, неустрашимость
