перхать|Покашливать от перхоты
перхота|Ощущение зуда, щекотание в горле
перхоть|Мелкие шелушащиеся частицы кожи на голове
перцовка|Водка, настоянная на перце
перчатка|Предмет одежды, закрывающий руку от запястья до конца пальцев и каждый палец в отдельности
перчатка|У боксеров: надеваемый на руку предмет спортивного снаряжения в форме утолщенной и мягкой сжатой в кулак кисти
перчёный|Посыпанный перцем, с перцем
перчить|Посыпать перцем
першерон|Лошадь — тяжеловоз крупной и выносливой породы
першить|Об ощущении перхоты
песенник|Сборник песен
песенник|Исполнитель песен
песенник|Автор песен или композитор песенной музыки
песета|Денежная единица в Испании
песец|Хищное млекопитающее семейства псовых с ценным мехом, а также самый мех его
пескарь|Маленькая речная рыбка семейства карповых
песколюбивый|О растениях: хорошо произрастающий на песчаной почве
пескоструйка|Пескоструйный аппарат
пескоструйный|Относящийся к обработке при помощи песка, бьющего под сильным напором воздушной струи
песнопевец|Поэт, слагающий торжественные стихи, гимны; исполнитель песнопений
песнопение|Религиозная или торжественная песнь
песнь|То же, что песня (устаревшее и высокое)
песнь|Поэтическое произведение эпического или героического характера (устаревшее и высокое)
песнь|Глава поэмы
песня|Стихотворное и музыкальное произведение для исполнения голосом, голосами
песня|Звуки птичьего пения
песенка|Уменьшительно-ласкательное от песня
песо|Денежная единица в странах Латинской Америки и в некоторых других
песок|Рыхлая осадочная горная порода, состоящая из зерен кварца, полевых шпатов и мелких частиц иных твердых минералов
песок|Пространства, покрытые рыхлой осадочной породой из зерен кварца, полевых шпатов и мелких частиц иных твердых минералов
песок|Сахарный песок
песочек|Мелкий песок
песочина|То же, что песчинка
песочить|Резко критиковать, бранить
песочница|Коробочка с песком для посыпания написанного чернилами
песочница|В локомотиве: ящик с песком, автоматически выбрасываемым на рельсы при буксовании колес
песочница|Заполненный песком низкий широкий ящик для детской игры в песок
песочный|Относящийся к песку
песочный|Коричневато-желтый, цвета песка
песочный|О сдобном тесте и изделиях из него: сухой и рассыпчатый
пессимизм|Мрачное мироощущение, при котором человек не верит в будущее, во всем склонен видеть унылое, плохое; противоположно оптимизм
пессимист|Человек пессимистического склада
пессимистичный|Проникнутый пессимизмом
пест|Короткий тяжелый стержень с округлым концом для толчения чего-нибудь в ступе
пестик|Женский орган цветка, из которого образуется плод после оплодотворения пыльцой
пестик|Небольшой пест
пестовать|То же, что нянчить
пестовать|Заботливо, любовно выращивать, воспитывать
пестреть|Становиться пестрым, пестрее
пестреть|Быть пестрым от чего-нибудь
пестреть|О чем-нибудь пестром: виднеться
пестрить|Делать пестрым, придавать пестрый вид чему-нибудь
пестрить|Быть слишком пестрым
пестрить|Содержать что-нибудь часто повторяющееся, часто попадающееся на глаза, мелькающее перед глазами
пестрить|Об ощущении пестроты, ряби в глазах
пестротканый|О тканях: пестрый от чередования в основе и утке разноцветных нитей
пестрять|Часто попадаться на глаза, мелькать перед глазами (о чем-нибудь пестром, разноцветном или вообще часто встречающемся)
пестрядь|Грубая льняная или хлопчатобумажная ткань из разноцветных ниток, обычно домотканая
пестрядина|Грубая льняная или хлопчатобумажная ткань из разноцветных ниток, обычно домотканая
пестун|Человек, который пестует, воспитывает кого-нибудь
пестунья|Женщина, которая пестует, воспитывает кого-нибудь
песцовый|Относящийся к песцу
песчаник|Осадочная горная порода из спрессовавшегося песка
песчаный|Состоящий из песка, несущий песок, покрытый песком
песчаный|О цвете: коричневато-желтый, песочный
песчинка|Крупинка песка
петарда|Старинный разрывной снаряд в виде металлического сосуда, наполненного порохом
петарда|Спрессованный дымный порох в артиллерийском снаряде, служащий для передачи огня заряду
петарда|Накладываемый на рельсы разрывной снаряд, взрыв которого служит сигналом для немедленной остановки поезда в случае опасности
петарда|В пиротехнике: снаряд, начиненный порохом, род фейерверка
петельный|Относящийся к петле
