болячка|Небольшая незажившая ранка, язвочка  
болящий|О человеке: то же, что больной  
бомба|Разрывной снаряд, сбрасываемый с самолета, а также вообще разрывной снаряд, ручной или орудийный; взрывное устройство  
бомба|Округлившийся при полете кусок лавы, выбрасываемый при извержении вулкана  
бомбардир|В царской армии: звание артиллериста, соответствующее ефрейтору, а также солдат, имеющий это звание  
бомбардир|В командных играх с мячом, в хоккее: результативный нападающий игрок  
бомбардировать|Обстрелять из орудий или, атакуя с воздуха, сбросить бомбы на кого–нибудь  
бомбардировать|Посылать, направлять письма, просьбы, жалобы, настойчиво добиваясь чего–нибудь  
бомбардировщик|Бомбардировочный самолет  
бомбардировщик|Летчик бомбардировочной авиации  
бомбить|Атаковать с воздуха, сбрасывая бомбы  
бомбо...|Первая часть сложных слов со значением: относящийся к бомбам  
бомбо...|Первая часть сложных слов со значением: относящийся к укрытию от бомб  
бомбовоз|То же, что бомбардировщик  
бомбоубежище|Специальное укрытие, защищающее людей от поражения авиабомбами  
бомж|Человек без определенного местожительства и работы  
бондариный|Относящийся к работе бондаря  
бондарь|Мастер, изготовляющий из деревянных планок крупную посуду  
бонза|Чванное должностное лицо, надменный чиновник  
бонна|До революции в богатых семьях: воспитательница-иностранка при маленьких детях  
боны|Краткосрочные кредитные документы, выпускаемые казначейством, муниципалитетом или частной фирмой и выполняющие роль бумажных денег  
боны|Бумажные денежные знаки мелкого достоинства, пускаемые временно в оборот в качестве разменных денег  
боны|Бумажные денежные знаки, вышедшие из употребления и ставшие предметом коллекционирования  
бон|Плавучие ограждения или заграждения на реках, озерах, в морских портах  
бор|Сосновый лес  
бор|Стальное сверло в бормашине  
бордель|То же, что публичный дом  
бордо|Темно-красный  
бордюр|Обрамляющая края цветная полоска  
бордюр|Невысокое обрамляющее ограждение  
борение|см. бороться  
борец|Человек, который борется во имя защиты, осуществления чего–нибудь  
борец|Спортсмен, занимающийся борьбой  
боржоми|Минеральная лечебная вода, употребляемая для питья и ванн  
борзописец|Человек, который пишет быстро, наспех и поверхностно  
борзые|Порода охотничьих собак с острой длинной мордой и длинными тонкими ногами, специально тренируемых для охоты на волков, лис, зайцев  
борзый|Быстрый, резвый  
бормашина|Аппарат для обтачивания, сверления  
бормотать|Говорить тихо, быстро и невнятно  
бормотун|Человек, постоянно бормочущий или говорящий быстро и невнятно  
бормотуха|Дешевое плодово-ягодное вино  
борный|Борная кислота — слабая кислота, бесцветное кристаллическое вещество, употребляемое в технике и медицине  
борный|Борный спирт — спиртовой раствор борной кислоты  
боров|Кастрированный самец свиньи  
боров|Часть дымохода, ведущая от топки котла, печи к дымовой трубе  
боровик|То же, что белый гриб  
борода|Волосяной покров на нижней части лица у мужчин  
борода|У некоторых животных: пучок волос, перьев или мясистые отростки под лицевой частью головы  
бородавка|Небольшой округлый болезненный нарост на коже  
бородавка|Бугорок на коре дерева, на листе, на кожном покрове некоторых животных  
бородавчатый|Покрытый бородавками  
бородатый|С бородой или с большой бородой  
бородач|Человек с большой бородой  
бородка|см. борода  
бородка|Фигурный выступ на конце ключа  
борозда|Канавка на поверхности почвы, проведенная плугом или иным рыхлящим орудием для посева, для отвода воды  
борозда|То же, что бороздка  
бороздить|Пахать, рыхлить, делая борозды  
бороздить|Оставлять после себя следы, подобные бороздам, бороздкам  
бороздить|Пересекать в разных направлениях, как бы покрывать бороздками  
бороздка|см. борозда  
бороздка|Неглубокое продольное углубление на чем–нибудь  
бороздчатый|Покрытый бороздами, бороздками  
борона|Сельскохозяйственное орудие для мелкого рыхления почвы  
боронить|Разрыхлять бороной  
бороновать|То же, что боронить
