парапет|Невысокая заграждающая стенка, перила
парапсихология|Изучение научно не объясненных явлений человеческого восприятия без участия органов чувств и физических воздействий на кого–нибудь, без посредства мышечных усилий
паратиф|Инфекционная кишечная болезнь, сходная с брюшным тифом
парафин|Похожее на воск светлое плавкое вещество, получаемое преимущественно из нефти, используемое в промышленности и медицине
параша|Сосуд для испражнений в тюремной камере
парашют|Устройство с раскрывающимся в воздухе куполом и стропами для прыжка с самолета или спуска с высоты груза, космического аппарата, а также для уменьшения пробега при посадке самолета, торможения гоночного автомобиля
парашютизм|Парашютный спорт
парашютировать|Опускаясь, полететь с предельно малой скоростью
парашютист|Тот, кто совершает прыжок с парашютом, спортсмен, занимающийся парашютным спортом
парез|Ослабление произвольных движений мышц, неполный паралич
пареный|Приготовленный в пищу парением, на пару
парень|Юноша, молодой человек
парень|Вообще человек, мужчина
пари|Заключенное между двумя спорящими условие, по которому проигравший должен выполнить какое–нибудь обязательство
парик|Накладка на голове, имитирующая волосы, прическу
парикмахер|Мастер, специалист по прическам, завивке, стрижке, бритью
парикмахерская|Предприятие, где делают прически, завивку, стригут, бреют
парильня|Отделение в бане, где парятся, парная
парильня|Отделение на предприятии, фабрике, где что–нибудь парят
парировать|В фехтовании: отразить удар соперника
парировать|Сразу, быстро представить бесспорные возражения против чего–нибудь
паритет|Равенство, равноправие сторон
паритет|Соотношение между денежными единицами разных стран по количеству представленного ими золота или по их покупательной силе
парить|Подвергать действию пара
парить|Хлестать веником в бане для вызывания пота
парить|Приготовлять что–нибудь в закрытом сосуде на пару
парить|Испускать сильный жар, зной
парить|Держаться в воздухе на неподвижно раскрытых крыльях
париться|Приготовляться, прогреваться в закрытом сосуде на пару
париться|Находиться в очень теплом, жарком помещении или быть слишком тепло одетым
париться|То же, что потеть (переносное значение)
париться|Находиться в бане, обдавая тело паром
пария|В Южной Индии: человек, принадлежащий к одной из неприкасаемых каст, лишенный всяких прав
пария|Отверженное и бесправное существо
парк|Большой сад или насаженная роща с аллеями, цветниками, водоемами
парк|Передвижной склад для снабжения армии
парк|Место стоянки и ремонта подвижного состава
парк|Совокупность транспортных средств, подвижной состав, а также вообще совокупность машин, механизмов, аппаратов
паркет|Планки из твердых пород дерева для покрытия полов, а также само такое покрытие
паркетчик|Рабочий, занимающийся изготовлением паркета
парковать|Ставить автомобиль на стоянку
парламент|Высшее государственное законодательное представительное собрание
парламент|Название некоторых международных съездов, организаций
парламентаризм|Государственная система с парламентом во главе
парламентарий|Член парламента
парламентер|Официальное лицо, посылаемое от одной из воюющих сторон для переговоров с неприятелем
парнас|В древнегреческой мифологии: гора, на которой обитали музы и бог солнца — Аполлон
парнас|Мир поэзии, поэтов
парная|То же, что парильня
парник|Род теплицы в виде гряд, покрытых застекленными рамами или прозрачной пленкой, для выращивания овощей, плодов и ранней зелени
парнишка|Мальчик, подросток
парной|О молоке, мясе: свежий, еще теплый
парнокопытные|Отряд млекопитающих с двумя одинаково развитыми пальцами
парный|Составляющий пару, предназначенный для пары кого–чего–нибудь, производимый парой
паро...|Первая часть сложных слов со значением связанный с действием пара, относящийся к пару
паровик|Поезд с паровозом, а также паровоз
паровоз|Локомотив с паровым двигателем
паровой|Приготовленный на пару
пародийный|Комически–подражательный, карикатурный
пародировать|Представить в пародийном виде
пародист|Автор пародий
пародия|Комическое или сатирическое подражание кому–нибудь
пародия|Неудачное, вызывающее насмешку подобие чего–нибудь, карикатура на что–нибудь
пароконный|Запряженный парой лошадей
пароксизм|Внезапный и сильный приступ (болезни, чувства)
