душистый|Имеющий приятный сильный запах
душистость|Качество, свойство иметь приятный сильный запах
душитель|Тот, кто душит что–нибудь
душительский|Связанный с тем, кто душит что–нибудь
душить|Убивать, с силой сжимая горло
душить|Лишать возможности дышать
душить|Угнетать, притеснять
душиться|Подвергаться удушению, быть убиваемым удушением
задушить|Убить, с силой сжимая горло
задушиться|Быть убитым удушением
душить|Опрыскивать, пропитывать чем–нибудь душистым, духами
душиться|Опрыскиваться, пропитываться чем–нибудь душистым, духами
надушить|Опрыскать, пропитать чем–нибудь душистым, духами
надушиться|Опрыскаться, пропитаться чем–нибудь душистым, духами
душиться|Находясь в духоте и тесноте, испытывать недостаток воздуха
душка|То же, что душенька
душник|То же, что отдушник
душный|Насыщенный испарениями, тяжелый для дыхания
душный|Об ощущении удушья
душно|Об ощущении удушья
душок|Запах от чего–нибудь загнивающего, несвежего
душок|Еле заметное проявление чего–нибудь (настроений, взглядов)
дуэль|Поединок между двумя лицами
дуэль|Борьба, состязание двух сторон
дуэльный|Связанный с поединком между двумя лицами
дуэлянт|Участник дуэли
дуэт|Музыкальное произведение для двух исполнителей с самостоятельными партиями для каждого
дуэт|Исполнители такого произведения
дуэтный|Связанный с дуэтом
дыба|В старину: орудие пытки, на котором растягивали истязуемого
дыбиться|Подниматься дыбом, а также становиться на дыбы
дыбом|Торчком, поднявшись вверх
дыбы|Встать на задние ноги (обычно о лошадях)
дыбы|О противодействии, несогласии, упрямстве
дылда|Высокий нескладный человек
дым|Поднимающиеся вверх серые клубы – летучие продукты горения
дым|О своем, родном и поэтому, независимо ни от чего, дорогом, близком
в дым|Совсем, совершенно
дымок|Небольшой клуб или слабая струйка дыма
дымовой|Связанный с дымом
дымина|То же, что в дым, совершенно
дымить|Плохо гореть, топиться, выделяя большое количество дыма
дымить|Пускать дым
надымить|Пустить много дыма, наполнить дымом
дымиться|Выпускать дым; тлеть, выпуская дым
дымиться|О сплошной, легкой, воздушной массе: быть, стоять, распространяться дымкой, в виде дымки
дымка|Легкая, как дым, застилающая пелена чего–нибудь
дымка|Тонкая легкая ткань, газ
дымковский|Связанный с русскими народными глиняными игрушками фигурками из обожженной и ярко раскрашенной глины
дымный|Дымящийся, а также наполненный дымом
дымный|Дающий дым, с дымом
дымо...|Первая часть сложных слов в значении «относящийся к дыму»
дымогарный|Связанный с дымогарной трубой — трубой в паровом котле, по которой проходят из топки газы, нагревающие воду
дымок|То же, что дым
дымоход|Канал для выхода дыма из печи, топки в трубу
дымоходный|Связанный с дымоходом
дымчато...|Первая часть сложных слов со значением «дымчатый, со светло–серым оттенком»
дымчатый|Светло–серого, цвета дыма
дымчатость|Свойство быть дымчатым, светло–серым, цвета дыма
дынный|Связанный с дыней
дынный|Связанный с дынным деревом
дыня|Бахчевое растение семейства тыквенных с крупным сладким плодом, а также сам плод его
дынька|Маленькая дыня
дыра|Прорванное или проломанное отверстие
дыра|Глухое место, захолустье
черная дыра|Не дающий излучений космический объект, обладающий мощным полем тяготения
дырка|Небольшая дыра
дырокол|Машинка для пробивания круглых отверстий по краю бумажного листа
дырчатый|Имеющий много дырок, отверстий
дырявый|Прорванный, с дырами
дышать|О живых организмах: поглощать кислород и выделять углекислый газ
дышать|При помощи органов дыхания втягивать в организм воздух (кислород) и удалять углекислый газ
дышать|Пропускать воздух
дышать|Будучи проникнутым, наполненным чем–нибудь, обнаруживать, испускать что–нибудь, веять чем–нибудь
дышаться|О процессе дыхания
дых|Под дых — под ложечку, под вздох
дыхало|Отверстие для дыхания у кита и сродных с ним морских животных
дыхальце|Наружные отверстия для дыхания у некоторых членистоногих
дыхание|Процесс поглощения кислорода и выделения углекислого газа живыми организмами
дыхание|Втягивание и выпускание воздуха легкими
дыхательный|Связанный с дыханием
дышло|В парной запряжке: толстая оглобля, прикрепляемая к середине передней оси повозки
дышловой|Связанный с дышлом
дышловый|Связанный с дышлом
дьявол|Злой дух, противостоящий Богу, сатана
дьявол|Употребляется как бранное слово, а также в некоторых выражениях
дьявольский|Связанный с дьяволом
дьявольский|То же, что исключительный
дьяволенок|Маленький дьявол, чертенок
дьяволенок|Чертенок, сорванец
дьявольщина|О невероятном стечении обстоятельств
дьяк|В 14–17 веках в России: должностное лицо в государственных учреждениях
