тошнотворный|Вызывающий тошноту  
тошнотворность|Свойство вызывать тошноту  
тошный|Противный, докучный  
тошный|То же, что тошнотворный  
тошный|Об ощущении тошноты  
тошный|Противно, отвратительно, а также тяжело, тоскливо  
тощать|То же, что худеть  
тощий|Исхудалый, худощавый  
тощий|Пустой, не наполненный  
тощий|То же, что скудный  
тпру|Возглас, которым возница останавливает лошадей  
тпру|Ни взад ни вперед, ничего не получается у кого–нибудь  
трава|Многолетнее или однолетнее растение с неодеревеневающим, обычно мягким и зеленым невысоким стеблем  
трава|Зеленый покров земли из таких растений  
трава|Травянистые растения, обладающие лечебными свойствами, входящие в лекарственные сборы  
трава|О чем–нибудь не имеющем вкуса, безвкусном  
травка|То же, что трава  
травка|Наркотик растительного происхождения  
травушка|То же, что трава  
травяной|Относящийся к траве, покрытый травой или на травах  
травянистый|Поросший травой, с густой травой  
травянистый|Безвкусный, как трава  
травянистость|Свойство быть поросшим травой  
травный|То же, что травяной  
травинкa|Один стебелек травы  
травить|Убивать отравой  
травить|Причинять чем–нибудь вред, вызывать болезнь  
травить|Делать потраву  
травить|На псовой охоте: преследовать  
травить|Изводить преследованиями, клеветой  
травить|Обрабатывать химическим путем для получения рисунка, узора, клейма или для очистки  
травление|Обработка химическим путем для получения рисунка, узора, клейма или для очистки  
травля|Преследование, изводительство, травля на псовой охоте  
травильный|Относящийся к обработке химическим путем  
вытравной|Относящийся к обработке химическим путем  
вытравить|Обработать химическим путем для получения рисунка, узора, клейма или для очистки  
затравить|Преследовать  
потравить|Делать потраву  
стравить|Делать потраву  
травить|Ослаблять что–нибудь натянутое, отпуская понемногу  
потравить|Ослабить что–нибудь натянутое, отпуская понемногу  
травить|Заниматься болтовней, рассказывать небылицы  
травиться|Убивать себя ядом  
травленый|Такой, которого травили  
травленый|Изготовленный травлением или подвергнутый травлению  
травма|Повреждение органа, ткани в результате внешнего воздействия  
травматический|Относящийся к травме, воздействию, сопровождающемуся травмами  
травматизм|Наличие травм  
травматолог|Врач, специалист по травматологии  
травматологический|Относящийся к травмам, к оказанию помощи при травмах  
травматология|Раздел медицины, занимающийся травмами и их лечением  
травмировать|Нанести или наносить травму  
травмировать|Вызвать или вызывать нервное потрясение  
травник|Человек, который занимается сбором лечебных трав, знает способы их применения  
травница|Женщина, которая занимается сбором лечебных трав  
травник|Настойка на траве, травах  
травник|Старинная книга с описанием лечебных трав и способов лечения травами  
травниковый|Относящийся к настойке на травах или книге с описанием лечебных трав  
траво|Первая часть сложных слов со значением «относящийся к траве, травам»  
траволечение|Лечение лекарственными травами  
травополье|Система земледелия с периодическим травосеянием на полях для восстановления плодородия почвы  
травопольный|Относящийся к системе земледелия с травосеянием  
травосеяние|Посев кормовых трав  
травостой|Травяной покров лугов, сенокосов, пастбищ  
травоядный|Питающийся растительной пищей, травой  
трагедийный|То же, что трагический  
трагедийность|Свойство быть трагедийным  
трагедия|Драматическое произведение, изображающее напряженную и неразрешимую коллизию, личную или общественную катастрофу и обычно оканчивающееся гибелью героя  
трагедия|Потрясающее событие, тяжкое переживание, несчастье  
трагический|Относящийся к трагедии  
трагический|Ужасный, потрясающий; полный страдания  
трагичность|Свойство быть трагическим  
трагизм|Трагический элемент в художественном произведении  
трагизм|То же, что трагичность  
трагик|Автор трагедий  
трагик|Актер, исполняющий трагические роли  
трагикомедия|Драматическое произведение, в котором сочетаются черты трагедии и комедии  
трагикомедия|Печальное и одновременно смешное событие  
трагикомический|Относящийся к драматическому произведению, сочетающему черты трагедии и комедии  
трагикомический|Печальный и вместе с тем смешной  
трагикомичный|То же, что трагикомический  
трагикомичность|Свойство быть трагикомичным  
трагичный|То же, что трагический  
традиционализм|Приверженность к старым традициям  
традиционалистский|Относящийся к традиционализму  
традиционный|Сохранившийся от старины, основанный на традиции  
традиционный|Бывающий, существующий в силу традиции, установившегося обычая  
традиционность|Свойство быть традиционным  
традиция|То, что перешло от одного поколения к другому, что унаследовано от предшествующих поколений  
традиция|Обычай, установившийся порядок в поведении, в быту  
траектория|Линия движения какого–нибудь тела или точки  
траектория|Линия полета пули, снаряда, ракеты  
траекторный|Относящийся к траектории  
трак|Звено гусеницы  
тракт|Большая наезженная дорога  
тракт|Устройства, сооружения, образующие путь следования чего–нибудь  
трактовый|Относящийся к тракту  
трактат|Научное сочинение  
трактат|Международный договор  
трактатный|Относящийся к трактату  
трактир|Недорогая столовая для приезжих, для широкой публики  
трактирчик|Малый трактир  
трактирный|Относящийся к трактиру  
трактирщик|Хозяин трактира  
трактирщица|Женщина, хозяйка трактира  
трактирщицкий|Относящийся к трактирщику
